cof,binding_mean,condensate_mean,binding_std,condensate_std
0.1,0.00027855099897906415,0.0002516205247235751,0.000800719675065408,0.0007416879720754424
0.10985411419875583,0.00029600675522381385,0.0003649295615813232,0.0008738662720043096,0.0009609517206027201
0.12067926406393285,0.00033163553040600627,0.0004121103976472259,0.0009578314230371234,0.0010303705107178331
0.13257113655901093,0.00036462005864797327,0.0005030569269125455,0.0009838227869712233,0.0010970474190660072
0.14563484775012436,0.00042979615691484844,0.0004679684610859084,0.001145748677689024,0.0010528163355223255
0.15998587196060582,0.0005002334519912708,0.0005680890662962484,0.001267236166173377,0.001099998809594652
0.1757510624854792,0.0004868450134851509,0.0006776009870965131,0.001138108801172904,0.001220247233038324
0.193069772888325,0.0005811597492314626,0.000679772122142034,0.0012186070128913681,0.0013052553205419523
0.21209508879201905,0.0006631689108565753,0.0007015366459798567,0.0013232002573291526,0.0013562733138257578
0.2329951810515372,0.0007004203582530251,0.0007531050821564911,0.001362909378808182,0.0013956645194005397
0.2559547922699536,0.0008422501052328577,0.0008946871794214379,0.0014425560445843954,0.0015199626143374161
0.281176869797423,0.0009300337985537443,0.0009628594810413502,0.0015812900131283955,0.0016121640691932916
0.3088843596477481,0.001031893065782976,0.0010187512513644308,0.0016838544673660057,0.0017257080599898647
0.3393221771895328,0.0010770181212620218,0.0010931699896720246,0.0017435036194837212,0.0017259463879159248
0.372759372031494,0.0010948563519065026,0.0012313279072754869,0.0017456146948561728,0.001988238098200911
0.4094915062380424,0.0013543406220176057,0.0014916704935469822,0.0021589265874257073,0.002319803138986946
0.44984326689694454,0.0015616993280166283,0.0015628890510957717,0.0025337333715136517,0.0024742241807830506
0.49417133613238345,0.0020991760929587456,0.001534549443843567,0.007483888082420513,0.002461619432066091
0.5428675439323859,0.002190516212242211,0.0016794380867608742,0.0073077564080479334,0.0024545398633842542
0.5963623316594643,0.002497619523966166,0.0019412262334362249,0.007428618384878629,0.002439171549558228
0.6551285568595507,0.0025085793208692755,0.002336508032109239,0.0032634782973250715,0.0029105243973041907
0.7196856730011519,0.002436179321833941,0.002605824111862401,0.003085009325741017,0.003110567651855972
0.7906043210907697,0.002734176813133741,0.0028532716900415483,0.0035352909162993623,0.003296003301029239
0.8685113737513525,0.0031444089754249097,0.0031625787963715426,0.003926660798845843,0.003372448690031781
0.9540954763499939,0.0035541058199633478,0.003322292982117916,0.00417541270837655,0.003190378939569181
1.0481131341546859,0.0036894062274322784,0.0377529258319034,0.004015267134978313,0.02680074972760047
1.151395399326447,0.0038174146134510667,0.03774155143116754,0.004200023778031608,0.02754724381217121
1.2648552168552958,0.004230857579562159,0.03971291425573564,0.004995880116288979,0.02899503904938508
1.3894954943731375,0.00479815142106024,0.04003815680430905,0.005197766524072365,0.031206554735883265
1.5264179671752334,0.005244021859767663,0.03902193396571723,0.005507969057089927,0.030778444146824475
1.6768329368110073,0.006061046754640086,0.03721089903852246,0.006235366249395236,0.03145570098674809
1.8420699693267153,0.00690913077615849,0.03614573948164733,0.007150482023751235,0.02897265966174397
2.0235896477251565,0.007933737023570529,0.037923533647880106,0.007877744527898746,0.029391040638959264
2.2229964825261943,0.008591769192196454,0.03819631912552201,0.008082620764895266,0.02754302020378353
2.442053094548651,0.00959218385842586,0.03869380828835948,0.008515973606448686,0.028442906396601617
2.6826957952797246,0.010558054697347271,0.038935912937642585,0.009339727185770105,0.02844936462231756
2.9470517025518097,0.011930170470179241,0.038595020248115196,0.010732024163469862,0.0284760508154703
3.2374575428176433,0.012863525076624381,0.03830041553186769,0.01165455386352555,0.02865906217883569
3.5564803062231287,0.014161828120724407,0.038058767462127434,0.012366571709294111,0.029525923436249137
3.9069399370546147,0.016349390254709207,0.03925452807424344,0.014636016571854003,0.03044611359743872
4.291934260128776,0.017543475623964862,0.038667117333258415,0.015375307722282317,0.029713217456761504
4.714866363457392,0.01858999739451311,0.03753756237567441,0.015617827139494776,0.028710740423081457
5.17947467923121,0.019748994213585867,0.039026391127624155,0.016537780566281055,0.02961405987356619
5.689866029018296,0.022990785620091606,0.039233505580057594,0.01916169207340021,0.02975484204644257
6.25055192527397,0.024207647539298598,0.03897935601490743,0.01919019435027134,0.03131811926057082
6.866488450042998,0.02647256568459193,0.03593928937796018,0.018900077529277998,0.02879788770209544
7.543120063354615,0.029136509356693135,0.03724126391025894,0.021096339567297367,0.030094260017481576
8.286427728546842,0.03343951609573904,0.03709923150392919,0.025491917107981182,0.029178704850887183
9.102981779915218,0.03813504958382812,0.03705201460663299,0.031691594669899244,0.027274259191490843
10.0,0.03901660758094697,0.03834887381289927,0.031773532622990965,0.02772424954433609
