cof,binding_mean,condensate_mean,binding_std,condensate_std
0.5,0.0020870806605772295,0.0015280474952474605,0.007483971595583926,0.002434730126875205
0.5378452931100912,0.0022131883513642012,0.0016550720501015454,0.007325434354553744,0.00239795485768643
0.5785551186413599,0.0024996593358694156,0.0019074504916306166,0.007382384403587637,0.002506020997771192
0.6223462947320116,0.002303920204800441,0.0021187005256864022,0.0029281589363694097,0.0026351243309918593
0.6694520506122361,0.0024991280590945415,0.0023927046275993777,0.0032306420510265993,0.0029613698684510708
0.7201232687693795,0.0024391577229284853,0.0026121237272208947,0.003085598118603988,0.0031169094593006233
0.7746298211333279,0.002706109592243375,0.002759388795525086,0.0035064251844416352,0.0032820714235334957
0.8332620063985445,0.002951504040668413,0.0029533828499164485,0.0036050136390328364,0.003315480682726488
0.8963320961378558,0.0033286449011025493,0.0031648233751151453,0.0040753079579998715,0.003321023576170585
0.9641759979424951,0.003569849786121107,0.0033419407747109454,0.004218199717829476,0.0032075406926176794
1.0371550444461919,0.0036278505181979695,0.03823627098959828,0.004005914940474235,0.027065087770498836
1.1156579177615438,0.0036319145243315157,0.03773017812481736,0.00393022192546405,0.027585579525354093
1.200102719578103,0.003947946057307226,0.03899743222744924,0.004331746437665582,0.028624549711603352
1.290939197947405,0.004434255506293461,0.03866757302805669,0.005193516574957596,0.028192131421998404
1.3886511426146562,0.0047884777286790695,0.040107911229337684,0.005196982758403761,0.031213685534238256
1.4937589616544857,0.005054663677897016,0.03851216806374534,0.0052878060943774155,0.02978544742410083
1.6068224531337647,0.005560859738195899,0.03791917481679213,0.005374430223735645,0.03027062030571576
1.728443786563211,0.006398222807716851,0.036716216093403004,0.0064989829843911965,0.029340958960329185
1.8592707100168127,0.006944783943421576,0.036262227644265246,0.0071402217406441966,0.029022642386353336
2.0,0.007783328088096139,0.03724277427836842,0.007892587635762591,0.02923143029971887
